Tabelle: 12621-0001;;;;;;;;;;;;;;
Life table (period life table): Germany, period of years,;;;;;;;;;;;;;;
sex, completed age;;;;;;;;;;;;;;
Life tables;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
;;Probability of death [q(x)];;;;;;;;;;;;
;;rate;;;;;;;;;;;;
;65 years;0.01558631;;;;;;;;;;;;
;75 years;0.03971938;;;;;;;;;;;;
Female;55 years;0.00359754;;;;;;;;;;;;
;65 years;0.00774243;;;;;;;;;;;;
;75 years;0.02228117;;;;;;;;;;;;
2008/10;;;;;;;;;;;;;;
Male;55 years;0.00679315;;;;;;;;;;;;
;65 years;0.01534539;;;;;;;;;;;;
;75 years;0.03857541;;;;;;;;;;;;
Female;55 years;0.00354146;;;;;;;;;;;;
;65 years;0.00784889;;;;;;;;;;;;
;75 years;0.02211447;;;;;;;;;;;;
2009/11;;;;;;;;;;;;;;
Male;55 years;0.00676611;;;;;;;;;;;;
;65 years;0.01505891;;;;;;;;;;;;
;75 years;0.03743755;;;;;;;;;;;;
Female;55 years;0.00354317;;;;;;;;;;;;
;65 years;0.00780987;;;;;;;;;;;;
;75 years;0.02145793;;;;;;;;;;;;
2010/12;;;;;;;;;;;;;;
Male;55 years;0.00674599;;;;;;;;;;;;
;65 years;0.01539776;;;;;;;;;;;;
;75 years;0.03679808;;;;;;;;;;;;
Female;55 years;0.00350818;;;;;;;;;;;;
;65 years;0.00799300;;;;;;;;;;;;
;75 years;0.02075796;;;;;;;;;;;;
2011/13;;;;;;;;;;;;;;
Male;55 years;0.00657967;;;;;;;;;;;;
;65 years;0.01512419;;;;;;;;;;;;
;75 years;0.03568586;;;;;;;;;;;;
Female;55 years;0.00349442;;;;;;;;;;;;
;65 years;0.00790146;;;;;;;;;;;;
;75 years;0.02017696;;;;;;;;;;;;
2012/14;;;;;;;;;;;;;;
Male;55 years;0.00636402;;;;;;;;;;;;
;65 years;0.01526157;;;;;;;;;;;;
;75 years;0.03463645;;;;;;;;;;;;
Female;55 years;0.00335275;;;;;;;;;;;;
;65 years;0.00805754;;;;;;;;;;;;
;75 years;0.01959824;;;;;;;;;;;;
2013/15;;;;;;;;;;;;;;
Male;55 years;0.00630110;;;;;;;;;;;;
;65 years;0.01517552;;;;;;;;;;;;
;75 years;0.03455648;;;;;;;;;;;;
Female;55 years;0.00336385;;;;;;;;;;;;
;65 years;0.00800149;;;;;;;;;;;;
;75 years;0.01949607;;;;;;;;;;;;
2014/16;;;;;;;;;;;;;;
Male;55 years;0.00614830;;;;;;;;;;;;
;65 years;0.01536693;;;;;;;;;;;;
;75 years;0.03403229;;;;;;;;;;;;
Female;55 years;0.00331339;;;;;;;;;;;;
;65 years;0.00801216;;;;;;;;;;;;
;75 years;0.01906753;;;;;;;;;;;;
2015/17;;;;;;;;;;;;;;
Male;55 years;0.00604190;;;;;;;;;;;;
;65 years;0.01547851;;;;;;;;;;;;
;75 years;0.03424591;;;;;;;;;;;;
Female;55 years;0.00329272;;;;;;;;;;;;
;65 years;0.00797811;;;;;;;;;;;;
;75 years;0.01926698;;;;;;;;;;;;
2016/18;;;;;;;;;;;;;;
Male;55 years;0.00591257;;;;;;;;;;;;
;65 years;0.01542111;;;;;;;;;;;;
;75 years;0.03362174;;;;;;;;;;;;
Female;55 years;0.00324545;;;;;;;;;;;;
;65 years;0.00797044;;;;;;;;;;;;
;75 years;0.01923138;;;;;;;;;;;;
2017/19;;;;;;;;;;;;;;
Male;55 years;0.00571923;;;;;;;;;;;;
;65 years;0.01525559;;;;;;;;;;;;
;75 years;0.03390556;;;;;;;;;;;;
Female;55 years;0.00313983;;;;;;;;;;;;
;65 years;0.00794200;;;;;;;;;;;;
;75 years;0.01988851;;;;;;;;;;;;
2018/20;;;;;;;;;;;;;;
Male;55 years;0.00568675;;;;;;;;;;;;
;65 years;0.01535203;;;;;;;;;;;;
;75 years;0.03423877;;;;;;;;;;;;
Female;55 years;0.00311238;;;;;;;;;;;;
;65 years;0.00801369;;;;;;;;;;;;
;75 years;0.02011999;;;;;;;;;;;;
2019/21;;;;;;;;;;;;;;
Male;55 years;0.00568259;;;;;;;;;;;;
;65 years;0.01566113;;;;;;;;;;;;
;75 years;0.03433424;;;;;;;;;;;;
Female;55 years;0.00305589;;;;;;;;;;;;
;65 years;0.00813238;;;;;;;;;;;;
;75 years;0.02026754;;;;;;;;;;;;
2020/22;;;;;;;;;;;;;;
Male;55 years;0.00574798;;;;;;;;;;;;
;65 years;0.01594929;;;;;;;;;;;;
;75 years;0.03621112;;;;;;;;;;;;
Female;55 years;0.00304715;;;;;;;;;;;;
;65 years;0.00834970;;;;;;;;;;;;
;75 years;0.02117195;;;;;;;;;;;;
2021/23;;;;;;;;;;;;;;
Male;55 years;0.00566051;;;;;;;;;;;;
;65 years;0.01597984;;;;;;;;;;;;
;75 years;0.03666250;;;;;;;;;;;;
Female;55 years;0.00305743;;;;;;;;;;;;
;65 years;0.00858767;;;;;;;;;;;;
;75 years;0.02197471;;;;;;;;;;;;
2022/24;;;;;;;;;;;;;;
Male;55 years;0.00537098;;;;;;;;;;;;
;65 years;0.01543007;;;;;;;;;;;;
;75 years;0.03625593;;;;;;;;;;;;
Female;55 years;0.00294664;;;;;;;;;;;;
;65 years;0.00829459;;;;;;;;;;;;
;75 years;0.02163885;;;;;;;;;;;;
__________;;;;;;;;;;;;;;
"q(x) = Probability of death between ages x and x+1
p(x) = Probability of survival between ages x and x+1
l(x) = Number of survivors at exact age x
d(x) = Number of deaths between ages x and x+1
L(x) = Number of person-years lived between ages x and x+1
T(x) = Number of person-years remaining after exact age x
e(x) = Average life expectancy at exact age x (in years)";;;;;;;;;;;;;;
© Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;
created: 2025-12-12 / 19:46:08;;;;;;;;;;;;;;
