Tabelle: 12621-0001;;
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;
Geschlecht, Vollendetes Alter;;
Sterbetafeln;;
Deutschland;;
;;Sterbewahrscheinlichkeit [q(x)]
;;Ziffer
1991/93;;
;88 Jahre;0,14367207
;89 Jahre;0,15984725
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1996/98;;
männlich;0 Jahre;0,00538974
;1 Jahr;0,00048297
;2 Jahre;0,00029708
;3 Jahre;0,00022568
;4 Jahre;0,00017867
;5 Jahre;0,00016263
;6 Jahre;0,00016326
;7 Jahre;0,00012943
;8 Jahre;0,00013948
;9 Jahre;0,00013642
;10 Jahre;0,00013145
;11 Jahre;0,00013511
;12 Jahre;0,00015733
;13 Jahre;0,00018391
;14 Jahre;0,00023327
;15 Jahre;0,00027431
;16 Jahre;0,00049457
;17 Jahre;0,00062016
;18 Jahre;0,00107935
;19 Jahre;0,00104903
;20 Jahre;0,00102815
;21 Jahre;0,00095357
;22 Jahre;0,00092258
;23 Jahre;0,00096444
;24 Jahre;0,00087680
;25 Jahre;0,00087460
;26 Jahre;0,00085342
;27 Jahre;0,00089430
;28 Jahre;0,00093921
;29 Jahre;0,00095537
;30 Jahre;0,00096654
;31 Jahre;0,00106222
;32 Jahre;0,00112061
;33 Jahre;0,00119088
;34 Jahre;0,00127471
;35 Jahre;0,00138088
;36 Jahre;0,00151889
;37 Jahre;0,00165173
;38 Jahre;0,00177774
;39 Jahre;0,00198942
;40 Jahre;0,00216978
;41 Jahre;0,00244856
;42 Jahre;0,00274659
;43 Jahre;0,00296474
;44 Jahre;0,00319337
;45 Jahre;0,00355184
;46 Jahre;0,00381931
;47 Jahre;0,00408155
;48 Jahre;0,00439753
;49 Jahre;0,00485903
;50 Jahre;0,00530235
;51 Jahre;0,00585245
;52 Jahre;0,00648621
;53 Jahre;0,00710758
;54 Jahre;0,00764899
;55 Jahre;0,00824406
;56 Jahre;0,00907907
;57 Jahre;0,00993614
;58 Jahre;0,01083928
;59 Jahre;0,01207964
;60 Jahre;0,01321314
;61 Jahre;0,01506569
;62 Jahre;0,01639926
;63 Jahre;0,01816611
;64 Jahre;0,01972997
;65 Jahre;0,02226042
;66 Jahre;0,02407609
;67 Jahre;0,02676857
;68 Jahre;0,02934992
;69 Jahre;0,03132192
;70 Jahre;0,03348458
;71 Jahre;0,03716992
;72 Jahre;0,04044113
;73 Jahre;0,04417596
;74 Jahre;0,04887684
;75 Jahre;0,05451237
;76 Jahre;0,06075666
;77 Jahre;0,06540384
;78 Jahre;0,07066168
;79 Jahre;0,07498002
;80 Jahre;0,08469460
;81 Jahre;0,09675070
;82 Jahre;0,10542113
;83 Jahre;0,11648430
;84 Jahre;0,12526374
;85 Jahre;0,13899287
;86 Jahre;0,15038195
;87 Jahre;0,16453559
;88 Jahre;0,17771126
;89 Jahre;0,19520023
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00426415
;1 Jahr;0,00040370
;2 Jahre;0,00026374
;3 Jahre;0,00017616
;4 Jahre;0,00016411
;5 Jahre;0,00010113
;6 Jahre;0,00012705
;7 Jahre;0,00011805
;8 Jahre;0,00008800
;9 Jahre;0,00008830
;10 Jahre;0,00009911
;11 Jahre;0,00009900
;12 Jahre;0,00010954
;13 Jahre;0,00012629
;14 Jahre;0,00014455
;15 Jahre;0,00020840
;16 Jahre;0,00025709
;17 Jahre;0,00026223
;18 Jahre;0,00039567
;19 Jahre;0,00035808
;20 Jahre;0,00036056
;21 Jahre;0,00031527
;22 Jahre;0,00031990
;23 Jahre;0,00028301
;24 Jahre;0,00031427
;25 Jahre;0,00031824
;26 Jahre;0,00031450
;27 Jahre;0,00034705
;28 Jahre;0,00038244
;29 Jahre;0,00039182
;30 Jahre;0,00040902
;31 Jahre;0,00044490
;32 Jahre;0,00046945
;33 Jahre;0,00052077
;34 Jahre;0,00060018
;35 Jahre;0,00067384
;36 Jahre;0,00075407
;37 Jahre;0,00084119
;38 Jahre;0,00091267
;39 Jahre;0,00098940
;40 Jahre;0,00111226
;41 Jahre;0,00125727
;42 Jahre;0,00135238
;43 Jahre;0,00154629
;44 Jahre;0,00167037
;45 Jahre;0,00183870
;46 Jahre;0,00197695
;47 Jahre;0,00217829
;48 Jahre;0,00237388
;49 Jahre;0,00260911
;50 Jahre;0,00277980
;51 Jahre;0,00297460
;52 Jahre;0,00325155
;53 Jahre;0,00351296
;54 Jahre;0,00374489
;55 Jahre;0,00393592
;56 Jahre;0,00425222
;57 Jahre;0,00463299
;58 Jahre;0,00499244
;59 Jahre;0,00544847
;60 Jahre;0,00610684
;61 Jahre;0,00675980
;62 Jahre;0,00740996
;63 Jahre;0,00827055
;64 Jahre;0,00913437
;65 Jahre;0,01017142
;66 Jahre;0,01123769
;67 Jahre;0,01237965
;68 Jahre;0,01382241
;69 Jahre;0,01531791
;70 Jahre;0,01693948
;71 Jahre;0,01907842
;72 Jahre;0,02152222
;73 Jahre;0,02369787
;74 Jahre;0,02724873
;75 Jahre;0,03050247
;76 Jahre;0,03529265
;77 Jahre;0,03873539
;78 Jahre;0,04381750
;79 Jahre;0,04682670
;80 Jahre;0,05443396
;81 Jahre;0,06377295
;82 Jahre;0,07088942
;83 Jahre;0,08022188
;84 Jahre;0,08859056
;85 Jahre;0,10035660
;86 Jahre;0,11203561
;87 Jahre;0,12677423
;88 Jahre;0,14089443
;89 Jahre;0,15720877
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1997/99;;
männlich;0 Jahre;0,00517917
;1 Jahr;0,00046287
;2 Jahre;0,00030871
;3 Jahre;0,00021732
;4 Jahre;0,00019191
;5 Jahre;0,00013970
;6 Jahre;0,00015797
;7 Jahre;0,00013858
;8 Jahre;0,00015414
;9 Jahre;0,00012618
;10 Jahre;0,00013333
;11 Jahre;0,00013038
;12 Jahre;0,00015388
;13 Jahre;0,00018633
;14 Jahre;0,00023069
;15 Jahre;0,00028185
;16 Jahre;0,00045774
;17 Jahre;0,00061704
;18 Jahre;0,00106066
;19 Jahre;0,00101938
;20 Jahre;0,00098009
;21 Jahre;0,00096056
;22 Jahre;0,00090638
;23 Jahre;0,00091597
;24 Jahre;0,00087439
;25 Jahre;0,00084103
;26 Jahre;0,00084760
;27 Jahre;0,00084550
;28 Jahre;0,00088786
;29 Jahre;0,00088835
;30 Jahre;0,00091003
;31 Jahre;0,00097117
;32 Jahre;0,00100889
;33 Jahre;0,00108702
;34 Jahre;0,00116133
;35 Jahre;0,00125178
;36 Jahre;0,00145428
;37 Jahre;0,00156278
;38 Jahre;0,00166248
;39 Jahre;0,00192920
;40 Jahre;0,00209648
;41 Jahre;0,00231235
;42 Jahre;0,00263339
;43 Jahre;0,00291999
;44 Jahre;0,00305614
;45 Jahre;0,00349048
;46 Jahre;0,00373229
;47 Jahre;0,00396980
;48 Jahre;0,00435043
;49 Jahre;0,00465641
;50 Jahre;0,00524835
;51 Jahre;0,00559000
;52 Jahre;0,00622144
;53 Jahre;0,00677395
;54 Jahre;0,00745952
;55 Jahre;0,00813236
;56 Jahre;0,00864832
;57 Jahre;0,00960591
;58 Jahre;0,01033540
;59 Jahre;0,01155372
;60 Jahre;0,01262531
;61 Jahre;0,01402318
;62 Jahre;0,01576847
;63 Jahre;0,01730726
;64 Jahre;0,01898255
;65 Jahre;0,02095195
;66 Jahre;0,02292736
;67 Jahre;0,02576294
;68 Jahre;0,02853933
;69 Jahre;0,03091012
;70 Jahre;0,03315633
;71 Jahre;0,03601928
;72 Jahre;0,03913960
;73 Jahre;0,04261574
;74 Jahre;0,04718178
;75 Jahre;0,05239867
;76 Jahre;0,05690555
;77 Jahre;0,06528684
;78 Jahre;0,06935975
;79 Jahre;0,07675808
;80 Jahre;0,08052973
;81 Jahre;0,09126459
;82 Jahre;0,10223157
;83 Jahre;0,11272565
;84 Jahre;0,12404013
;85 Jahre;0,13501354
;86 Jahre;0,14694450
;87 Jahre;0,16022463
;88 Jahre;0,17384598
;89 Jahre;0,19160609
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00413827
;1 Jahr;0,00039731
;2 Jahre;0,00024240
;3 Jahre;0,00017009
;4 Jahre;0,00015011
;5 Jahre;0,00010145
;6 Jahre;0,00011223
;7 Jahre;0,00011634
;8 Jahre;0,00009149
;9 Jahre;0,00009931
;10 Jahre;0,00009171
;11 Jahre;0,00009595
;12 Jahre;0,00011518
;13 Jahre;0,00012211
;14 Jahre;0,00014107
;15 Jahre;0,00019950
;16 Jahre;0,00024372
;17 Jahre;0,00028252
;18 Jahre;0,00037480
;19 Jahre;0,00035881
;20 Jahre;0,00033480
;21 Jahre;0,00031722
;22 Jahre;0,00029517
;23 Jahre;0,00027011
;24 Jahre;0,00030636
;25 Jahre;0,00031934
;26 Jahre;0,00031010
;27 Jahre;0,00033772
;28 Jahre;0,00036296
;29 Jahre;0,00036066
;30 Jahre;0,00038121
;31 Jahre;0,00040983
;32 Jahre;0,00045543
;33 Jahre;0,00050253
;34 Jahre;0,00055901
;35 Jahre;0,00063005
;36 Jahre;0,00070331
;37 Jahre;0,00079585
;38 Jahre;0,00086401
;39 Jahre;0,00096102
;40 Jahre;0,00106855
;41 Jahre;0,00121645
;42 Jahre;0,00131007
;43 Jahre;0,00153206
;44 Jahre;0,00160564
;45 Jahre;0,00178265
;46 Jahre;0,00194072
;47 Jahre;0,00211004
;48 Jahre;0,00230972
;49 Jahre;0,00247321
;50 Jahre;0,00273490
;51 Jahre;0,00292145
;52 Jahre;0,00316299
;53 Jahre;0,00346129
;54 Jahre;0,00366186
;55 Jahre;0,00397076
;56 Jahre;0,00417643
;57 Jahre;0,00458610
;58 Jahre;0,00480362
;59 Jahre;0,00530282
;60 Jahre;0,00592416
;61 Jahre;0,00636553
;62 Jahre;0,00711895
;63 Jahre;0,00790929
;64 Jahre;0,00878429
;65 Jahre;0,00970144
;66 Jahre;0,01071848
;67 Jahre;0,01195031
;68 Jahre;0,01340966
;69 Jahre;0,01477352
;70 Jahre;0,01646286
;71 Jahre;0,01846053
;72 Jahre;0,02086194
;73 Jahre;0,02290472
;74 Jahre;0,02586447
;75 Jahre;0,02928919
;76 Jahre;0,03321478
;77 Jahre;0,03841797
;78 Jahre;0,04253967
;79 Jahre;0,04742524
;80 Jahre;0,05137183
;81 Jahre;0,06021474
;82 Jahre;0,06982700
;83 Jahre;0,07813033
;84 Jahre;0,08803854
;85 Jahre;0,09780304
;86 Jahre;0,10903466
;87 Jahre;0,12342893
;88 Jahre;0,13831068
;89 Jahre;0,15403809
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1998/00;;
männlich;0 Jahre;0,00500125
;1 Jahr;0,00044804
;2 Jahre;0,00029069
;3 Jahre;0,00020728
;4 Jahre;0,00017416
;5 Jahre;0,00013077
;6 Jahre;0,00015233
;7 Jahre;0,00013225
;8 Jahre;0,00013911
;9 Jahre;0,00012340
;10 Jahre;0,00012325
;11 Jahre;0,00013853
;12 Jahre;0,00016195
;13 Jahre;0,00017757
;14 Jahre;0,00021381
;15 Jahre;0,00026492
;16 Jahre;0,00043295
;17 Jahre;0,00059950
;18 Jahre;0,00097925
;19 Jahre;0,00094210
;20 Jahre;0,00098339
;21 Jahre;0,00096574
;22 Jahre;0,00089515
;23 Jahre;0,00085853
;24 Jahre;0,00088043
;25 Jahre;0,00080984
;26 Jahre;0,00083362
;27 Jahre;0,00081387
;28 Jahre;0,00083937
;29 Jahre;0,00086566
;30 Jahre;0,00086423
;31 Jahre;0,00090890
;32 Jahre;0,00095702
;33 Jahre;0,00100230
;34 Jahre;0,00111864
;35 Jahre;0,00116514
;36 Jahre;0,00137929
;37 Jahre;0,00147359
;38 Jahre;0,00157744
;39 Jahre;0,00184054
;40 Jahre;0,00205680
;41 Jahre;0,00225431
;42 Jahre;0,00253857
;43 Jahre;0,00280777
;44 Jahre;0,00300667
;45 Jahre;0,00334376
;46 Jahre;0,00363003
;47 Jahre;0,00392071
;48 Jahre;0,00433570
;49 Jahre;0,00465797
;50 Jahre;0,00502050
;51 Jahre;0,00559429
;52 Jahre;0,00593993
;53 Jahre;0,00655417
;54 Jahre;0,00729234
;55 Jahre;0,00795328
;56 Jahre;0,00860254
;57 Jahre;0,00926747
;58 Jahre;0,01012050
;59 Jahre;0,01117171
;60 Jahre;0,01231024
;61 Jahre;0,01353075
;62 Jahre;0,01494808
;63 Jahre;0,01673053
;64 Jahre;0,01805866
;65 Jahre;0,02031378
;66 Jahre;0,02209565
;67 Jahre;0,02479811
;68 Jahre;0,02754028
;69 Jahre;0,02988211
;70 Jahre;0,03278645
;71 Jahre;0,03552968
;72 Jahre;0,03810818
;73 Jahre;0,04134589
;74 Jahre;0,04579328
;75 Jahre;0,05025744
;76 Jahre;0,05491167
;77 Jahre;0,06148905
;78 Jahre;0,06954760
;79 Jahre;0,07505646
;80 Jahre;0,08114336
;81 Jahre;0,08707411
;82 Jahre;0,09736916
;83 Jahre;0,11137003
;84 Jahre;0,12127340
;85 Jahre;0,13352053
;86 Jahre;0,14469033
;87 Jahre;0,15872506
;88 Jahre;0,17092836
;89 Jahre;0,18860824
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00400451
;1 Jahr;0,00038154
;2 Jahre;0,00023536
;3 Jahre;0,00016231
;4 Jahre;0,00012631
;5 Jahre;0,00010279
;6 Jahre;0,00009976
;7 Jahre;0,00011858
;8 Jahre;0,00009187
;9 Jahre;0,00009426
;10 Jahre;0,00009197
;11 Jahre;0,00010451
;12 Jahre;0,00010158
;13 Jahre;0,00012086
;14 Jahre;0,00014296
;15 Jahre;0,00020864
;16 Jahre;0,00023526
;17 Jahre;0,00029050
;18 Jahre;0,00035364
;19 Jahre;0,00034951
;20 Jahre;0,00034103
;21 Jahre;0,00032702
;22 Jahre;0,00028948
;23 Jahre;0,00028260
;24 Jahre;0,00029830
;25 Jahre;0,00031435
;26 Jahre;0,00030342
;27 Jahre;0,00032667
;28 Jahre;0,00034748
;29 Jahre;0,00036024
;30 Jahre;0,00035731
;31 Jahre;0,00039855
;32 Jahre;0,00044591
;33 Jahre;0,00048281
;34 Jahre;0,00053059
;35 Jahre;0,00059724
;36 Jahre;0,00065635
;37 Jahre;0,00075606
;38 Jahre;0,00085140
;39 Jahre;0,00092617
;40 Jahre;0,00101210
;41 Jahre;0,00116937
;42 Jahre;0,00129974
;43 Jahre;0,00147549
;44 Jahre;0,00155841
;45 Jahre;0,00174963
;46 Jahre;0,00189480
;47 Jahre;0,00204398
;48 Jahre;0,00227598
;49 Jahre;0,00242607
;50 Jahre;0,00266064
;51 Jahre;0,00293745
;52 Jahre;0,00306290
;53 Jahre;0,00338246
;54 Jahre;0,00362627
;55 Jahre;0,00387965
;56 Jahre;0,00421455
;57 Jahre;0,00451383
;58 Jahre;0,00478247
;59 Jahre;0,00518348
;60 Jahre;0,00577965
;61 Jahre;0,00622382
;62 Jahre;0,00679542
;63 Jahre;0,00759923
;64 Jahre;0,00847210
;65 Jahre;0,00939881
;66 Jahre;0,01038761
;67 Jahre;0,01160268
;68 Jahre;0,01305007
;69 Jahre;0,01425895
;70 Jahre;0,01604546
;71 Jahre;0,01784791
;72 Jahre;0,02019149
;73 Jahre;0,02230362
;74 Jahre;0,02490767
;75 Jahre;0,02829953
;76 Jahre;0,03219469
;77 Jahre;0,03616698
;78 Jahre;0,04229867
;79 Jahre;0,04649207
;80 Jahre;0,05257139
;81 Jahre;0,05748666
;82 Jahre;0,06598256
;83 Jahre;0,07727724
;84 Jahre;0,08595330
;85 Jahre;0,09782020
;86 Jahre;0,10753335
;87 Jahre;0,12121892
;88 Jahre;0,13585578
;89 Jahre;0,15173408
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1999/01;;
männlich;0 Jahre;0,00487381
;1 Jahr;0,00043934
;2 Jahre;0,00027696
;3 Jahre;0,00023333
;4 Jahre;0,00016589
;5 Jahre;0,00012523
;6 Jahre;0,00014932
;7 Jahre;0,00012220
;8 Jahre;0,00013499
;9 Jahre;0,00013019
;10 Jahre;0,00011622
;11 Jahre;0,00013925
;12 Jahre;0,00015586
;13 Jahre;0,00017252
;14 Jahre;0,00020800
;15 Jahre;0,00025648
;16 Jahre;0,00042557
;17 Jahre;0,00055666
;18 Jahre;0,00094270
;19 Jahre;0,00091615
;20 Jahre;0,00096065
;21 Jahre;0,00092790
;22 Jahre;0,00087341
;23 Jahre;0,00084868
;24 Jahre;0,00086347
;25 Jahre;0,00079070
;26 Jahre;0,00080961
;27 Jahre;0,00080550
;28 Jahre;0,00081915
;29 Jahre;0,00081813
;30 Jahre;0,00085403
;31 Jahre;0,00086276
;32 Jahre;0,00092276
;33 Jahre;0,00096423
;34 Jahre;0,00104974
;35 Jahre;0,00114885
;36 Jahre;0,00129716
;37 Jahre;0,00139253
;38 Jahre;0,00156227
;39 Jahre;0,00175084
;40 Jahre;0,00195582
;41 Jahre;0,00214562
;42 Jahre;0,00243964
;43 Jahre;0,00269434
;44 Jahre;0,00294313
;45 Jahre;0,00327520
;46 Jahre;0,00360995
;47 Jahre;0,00391756
;48 Jahre;0,00426316
;49 Jahre;0,00459632
;50 Jahre;0,00498120
;51 Jahre;0,00543073
;52 Jahre;0,00594271
;53 Jahre;0,00636342
;54 Jahre;0,00714446
;55 Jahre;0,00772491
;56 Jahre;0,00835550
;57 Jahre;0,00934841
;58 Jahre;0,00986465
;59 Jahre;0,01089777
;60 Jahre;0,01199951
;61 Jahre;0,01319172
;62 Jahre;0,01429067
;63 Jahre;0,01590478
;64 Jahre;0,01743032
;65 Jahre;0,01934493
;66 Jahre;0,02136641
;67 Jahre;0,02362108
;68 Jahre;0,02641929
;69 Jahre;0,02879529
;70 Jahre;0,03202798
;71 Jahre;0,03489363
;72 Jahre;0,03725934
;73 Jahre;0,04023095
;74 Jahre;0,04435130
;75 Jahre;0,04821660
;76 Jahre;0,05271693
;77 Jahre;0,05955947
;78 Jahre;0,06551749
;79 Jahre;0,07448971
;80 Jahre;0,07939032
;81 Jahre;0,08841450
;82 Jahre;0,09197779
;83 Jahre;0,10486107
;84 Jahre;0,11841555
;85 Jahre;0,12891302
;86 Jahre;0,14386375
;87 Jahre;0,15546669
;88 Jahre;0,16763185
;89 Jahre;0,18404959
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00388307
;1 Jahr;0,00036318
;2 Jahre;0,00021403
;3 Jahre;0,00016037
;4 Jahre;0,00013863
;5 Jahre;0,00010259
;6 Jahre;0,00011122
;7 Jahre;0,00010298
;8 Jahre;0,00009371
;9 Jahre;0,00010000
;10 Jahre;0,00009260
;11 Jahre;0,00009676
;12 Jahre;0,00010206
;13 Jahre;0,00011875
;14 Jahre;0,00015020
;15 Jahre;0,00018384
;16 Jahre;0,00021593
;17 Jahre;0,00027782
;18 Jahre;0,00034340
;19 Jahre;0,00037143
;20 Jahre;0,00033394
;21 Jahre;0,00031729
;22 Jahre;0,00026926
;23 Jahre;0,00028838
;24 Jahre;0,00029410
;25 Jahre;0,00029094
;26 Jahre;0,00028382
;27 Jahre;0,00032891
;28 Jahre;0,00033417
;29 Jahre;0,00034584
;30 Jahre;0,00033314
;31 Jahre;0,00038329
;32 Jahre;0,00042516
;33 Jahre;0,00046166
;34 Jahre;0,00050213
;35 Jahre;0,00059679
;36 Jahre;0,00063747
;37 Jahre;0,00075108
;38 Jahre;0,00081960
;39 Jahre;0,00090679
;40 Jahre;0,00099725
;41 Jahre;0,00113749
;42 Jahre;0,00126290
;43 Jahre;0,00140159
;44 Jahre;0,00152548
;45 Jahre;0,00168627
;46 Jahre;0,00186733
;47 Jahre;0,00201256
;48 Jahre;0,00222206
;49 Jahre;0,00240276
;50 Jahre;0,00263095
;51 Jahre;0,00285292
;52 Jahre;0,00313752
;53 Jahre;0,00335547
;54 Jahre;0,00364743
;55 Jahre;0,00383342
;56 Jahre;0,00418087
;57 Jahre;0,00452889
;58 Jahre;0,00473532
;59 Jahre;0,00510036
;60 Jahre;0,00553715
;61 Jahre;0,00615077
;62 Jahre;0,00660891
;63 Jahre;0,00721064
;64 Jahre;0,00822876
;65 Jahre;0,00906282
;66 Jahre;0,01009068
;67 Jahre;0,01116959
;68 Jahre;0,01249766
;69 Jahre;0,01396356
;70 Jahre;0,01560327
;71 Jahre;0,01720853
;72 Jahre;0,01950386
;73 Jahre;0,02161176
;74 Jahre;0,02402878
;75 Jahre;0,02726904
;76 Jahre;0,03106984
;77 Jahre;0,03493483
;78 Jahre;0,03954067
;79 Jahre;0,04664825
;80 Jahre;0,05148974
;81 Jahre;0,05840441
;82 Jahre;0,06282401
;83 Jahre;0,07294381
;84 Jahre;0,08491480
;85 Jahre;0,09486300
;86 Jahre;0,10728256
;87 Jahre;0,11886411
;88 Jahre;0,13274370
;89 Jahre;0,14867875
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
2000/02;;
männlich;0 Jahre;0,00451281
;1 Jahr;0,00043340
;2 Jahre;0,00024513
;3 Jahre;0,00022031
;4 Jahre;0,00013878
;5 Jahre;0,00013359
;6 Jahre;0,00013165
;7 Jahre;0,00011020
;8 Jahre;0,00011798
;9 Jahre;0,00011738
;10 Jahre;0,00010547
;11 Jahre;0,00014141
;12 Jahre;0,00015103
;13 Jahre;0,00016282
;14 Jahre;0,00018291
;15 Jahre;0,00022885
;16 Jahre;0,00044007
;17 Jahre;0,00051408
;18 Jahre;0,00089150
;19 Jahre;0,00089055
;20 Jahre;0,00091882
;21 Jahre;0,00086793
;22 Jahre;0,00085359
;23 Jahre;0,00081961
;24 Jahre;0,00079284
;25 Jahre;0,00075426
;26 Jahre;0,00073229
;27 Jahre;0,00076795
;28 Jahre;0,00076753
;29 Jahre;0,00080008
;30 Jahre;0,00081723
;31 Jahre;0,00083018
;32 Jahre;0,00088830
;33 Jahre;0,00093712
;34 Jahre;0,00102134
;35 Jahre;0,00111572
;36 Jahre;0,00120861
;37 Jahre;0,00132535
;38 Jahre;0,00152324
;39 Jahre;0,00165804
;40 Jahre;0,00191378
;41 Jahre;0,00205398
;42 Jahre;0,00234504
;43 Jahre;0,00259231
;44 Jahre;0,00288173
;45 Jahre;0,00323213
;46 Jahre;0,00355770
;47 Jahre;0,00389396
;48 Jahre;0,00423639
;49 Jahre;0,00460314
;50 Jahre;0,00495993
;51 Jahre;0,00537937
;52 Jahre;0,00583447
;53 Jahre;0,00638424
;54 Jahre;0,00700810
;55 Jahre;0,00769663
;56 Jahre;0,00815118
;57 Jahre;0,00913422
;58 Jahre;0,01000058
;59 Jahre;0,01069700
;60 Jahre;0,01177017
;61 Jahre;0,01277776
;62 Jahre;0,01403501
;63 Jahre;0,01537783
;64 Jahre;0,01657799
;65 Jahre;0,01880219
;66 Jahre;0,02054018
;67 Jahre;0,02306263
;68 Jahre;0,02506262
;69 Jahre;0,02758305
;70 Jahre;0,03089253
;71 Jahre;0,03418861
;72 Jahre;0,03670681
;73 Jahre;0,03974690
;74 Jahre;0,04328305
;75 Jahre;0,04694363
;76 Jahre;0,05133129
;77 Jahre;0,05764735
;78 Jahre;0,06359281
;79 Jahre;0,06996310
;80 Jahre;0,07943287
;81 Jahre;0,08638340
;82 Jahre;0,09455994
;83 Jahre;0,10008529
;84 Jahre;0,11253815
;85 Jahre;0,12726226
;86 Jahre;0,14000690
;87 Jahre;0,15557310
;88 Jahre;0,16745044
;89 Jahre;0,18092095
;90 Jahre;0,19582345
;91 Jahre;0,21419744
;92 Jahre;0,23103037
;93 Jahre;0,24837545
;94 Jahre;0,26618136
;95 Jahre;0,28439636
;96 Jahre;0,30296858
;97 Jahre;0,32184621
;98 Jahre;0,34097780
;99 Jahre;0,36031243
;100 Jahre;0,37979995
weiblich;0 Jahre;0,00389508
;1 Jahr;0,00038091
;2 Jahre;0,00020898
;3 Jahre;0,00017068
;4 Jahre;0,00014032
;5 Jahre;0,00011151
;6 Jahre;0,00010847
;7 Jahre;0,00008541
;8 Jahre;0,00009111
;9 Jahre;0,00008236
;10 Jahre;0,00008689
;11 Jahre;0,00009813
;12 Jahre;0,00009717
;13 Jahre;0,00012106
;14 Jahre;0,00013863
;15 Jahre;0,00018584
;16 Jahre;0,00020387
;17 Jahre;0,00024381
;18 Jahre;0,00033621
;19 Jahre;0,00033919
;20 Jahre;0,00033690
;21 Jahre;0,00028684
;22 Jahre;0,00027063
;23 Jahre;0,00028467
;24 Jahre;0,00029024
;25 Jahre;0,00026859
;26 Jahre;0,00027208
;27 Jahre;0,00032551
;28 Jahre;0,00032630
;29 Jahre;0,00031811
;30 Jahre;0,00031890
;31 Jahre;0,00037490
;32 Jahre;0,00040691
;33 Jahre;0,00042943
;34 Jahre;0,00049206
;35 Jahre;0,00057206
;36 Jahre;0,00063575
;37 Jahre;0,00070747
;38 Jahre;0,00077599
;39 Jahre;0,00086275
;40 Jahre;0,00095560
;41 Jahre;0,00108673
;42 Jahre;0,00122377
;43 Jahre;0,00137885
;44 Jahre;0,00150622
;45 Jahre;0,00169517
;46 Jahre;0,00181768
;47 Jahre;0,00200757
;48 Jahre;0,00219855
;49 Jahre;0,00241950
;50 Jahre;0,00260598
;51 Jahre;0,00283600
;52 Jahre;0,00311187
;53 Jahre;0,00335603
;54 Jahre;0,00357456
;55 Jahre;0,00383410
;56 Jahre;0,00411333
;57 Jahre;0,00454425
;58 Jahre;0,00484381
;59 Jahre;0,00496096
;60 Jahre;0,00549828
;61 Jahre;0,00593284
;62 Jahre;0,00652968
;63 Jahre;0,00711230
;64 Jahre;0,00781734
;65 Jahre;0,00881744
;66 Jahre;0,00986351
;67 Jahre;0,01086324
;68 Jahre;0,01210451
;69 Jahre;0,01346911
;70 Jahre;0,01518610
;71 Jahre;0,01691293
;72 Jahre;0,01887144
;73 Jahre;0,02111797
;74 Jahre;0,02363126
;75 Jahre;0,02681442
;76 Jahre;0,03033802
;77 Jahre;0,03398234
;78 Jahre;0,03852244
;79 Jahre;0,04429206
;80 Jahre;0,05202896
;81 Jahre;0,05777840
;82 Jahre;0,06428666
;83 Jahre;0,07011393
;84 Jahre;0,08088841
;85 Jahre;0,09356928
;86 Jahre;0,10506612
;87 Jahre;0,11927301
;88 Jahre;0,13124078
;89 Jahre;0,14738935
;90 Jahre;0,16398071
;91 Jahre;0,18357617
