Tabelle: 12621-0001;;
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;
Geschlecht, Vollendetes Alter;;
Sterbetafeln;;
Deutschland;;
;;Sterbewahrscheinlichkeit [q(x)]
;;Ziffer
1991/93;;
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1992/94;;
männlich;0 Jahre;0,00652012
;1 Jahr;0,00054002
;2 Jahre;0,00040505
;3 Jahre;0,00029700
;4 Jahre;0,00025379
;5 Jahre;0,00021679
;6 Jahre;0,00020180
;7 Jahre;0,00018706
;8 Jahre;0,00016843
;9 Jahre;0,00017725
;10 Jahre;0,00015775
;11 Jahre;0,00018524
;12 Jahre;0,00018809
;13 Jahre;0,00021372
;14 Jahre;0,00023418
;15 Jahre;0,00035868
;16 Jahre;0,00052681
;17 Jahre;0,00065920
;18 Jahre;0,00106907
;19 Jahre;0,00115876
;20 Jahre;0,00109922
;21 Jahre;0,00110309
;22 Jahre;0,00105300
;23 Jahre;0,00102394
;24 Jahre;0,00100345
;25 Jahre;0,00103102
;26 Jahre;0,00101841
;27 Jahre;0,00102773
;28 Jahre;0,00106379
;29 Jahre;0,00113971
;30 Jahre;0,00123371
;31 Jahre;0,00129188
;32 Jahre;0,00134607
;33 Jahre;0,00153604
;34 Jahre;0,00163282
;35 Jahre;0,00173281
;36 Jahre;0,00186754
;37 Jahre;0,00198770
;38 Jahre;0,00215328
;39 Jahre;0,00240230
;40 Jahre;0,00257465
;41 Jahre;0,00276660
;42 Jahre;0,00287267
;43 Jahre;0,00317303
;44 Jahre;0,00338135
;45 Jahre;0,00370421
;46 Jahre;0,00396212
;47 Jahre;0,00448447
;48 Jahre;0,00490925
;49 Jahre;0,00541433
;50 Jahre;0,00605307
;51 Jahre;0,00630119
;52 Jahre;0,00712917
;53 Jahre;0,00757460
;54 Jahre;0,00852290
;55 Jahre;0,00920550
;56 Jahre;0,01013792
;57 Jahre;0,01148552
;58 Jahre;0,01266992
;59 Jahre;0,01400384
;60 Jahre;0,01541714
;61 Jahre;0,01680771
;62 Jahre;0,01886872
;63 Jahre;0,02064678
;64 Jahre;0,02264397
;65 Jahre;0,02400736
;66 Jahre;0,02602649
;67 Jahre;0,02812513
;68 Jahre;0,03063317
;69 Jahre;0,03346764
;70 Jahre;0,03682870
;71 Jahre;0,04059613
;72 Jahre;0,04594687
;73 Jahre;0,04915039
;74 Jahre;0,05402878
;75 Jahre;0,05686293
;76 Jahre;0,06330648
;77 Jahre;0,07025526
;78 Jahre;0,07733753
;79 Jahre;0,08618971
;80 Jahre;0,09403959
;81 Jahre;0,10327802
;82 Jahre;0,11301092
;83 Jahre;0,12397907
;84 Jahre;0,13592061
;85 Jahre;0,14937589
;86 Jahre;0,16236580
;87 Jahre;0,17463639
;88 Jahre;0,18728113
;89 Jahre;0,20139921
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00514310
;1 Jahr;0,00053387
;2 Jahre;0,00026960
;3 Jahre;0,00023201
;4 Jahre;0,00019676
;5 Jahre;0,00017106
;6 Jahre;0,00015127
;7 Jahre;0,00013403
;8 Jahre;0,00012899
;9 Jahre;0,00012432
;10 Jahre;0,00014692
;11 Jahre;0,00013536
;12 Jahre;0,00012965
;13 Jahre;0,00014309
;14 Jahre;0,00015535
;15 Jahre;0,00021520
;16 Jahre;0,00029109
;17 Jahre;0,00029789
;18 Jahre;0,00038745
;19 Jahre;0,00040187
;20 Jahre;0,00035941
;21 Jahre;0,00031418
;22 Jahre;0,00036062
;23 Jahre;0,00033198
;24 Jahre;0,00037138
;25 Jahre;0,00037439
;26 Jahre;0,00038318
;27 Jahre;0,00036634
;28 Jahre;0,00043926
;29 Jahre;0,00045919
;30 Jahre;0,00053132
;31 Jahre;0,00050119
;32 Jahre;0,00058594
;33 Jahre;0,00067795
;34 Jahre;0,00072654
;35 Jahre;0,00075506
;36 Jahre;0,00086377
;37 Jahre;0,00094823
;38 Jahre;0,00099111
;39 Jahre;0,00108454
;40 Jahre;0,00124459
;41 Jahre;0,00137819
;42 Jahre;0,00152055
;43 Jahre;0,00165134
;44 Jahre;0,00180290
;45 Jahre;0,00198464
;46 Jahre;0,00209806
;47 Jahre;0,00229442
;48 Jahre;0,00252594
;49 Jahre;0,00275166
;50 Jahre;0,00294850
;51 Jahre;0,00313082
;52 Jahre;0,00340638
;53 Jahre;0,00356461
;54 Jahre;0,00395189
;55 Jahre;0,00427599
;56 Jahre;0,00461624
;57 Jahre;0,00514391
;58 Jahre;0,00570009
;59 Jahre;0,00628314
;60 Jahre;0,00686781
;61 Jahre;0,00768063
;62 Jahre;0,00847907
;63 Jahre;0,00924863
;64 Jahre;0,01020538
;65 Jahre;0,01119573
;66 Jahre;0,01217263
;67 Jahre;0,01364272
;68 Jahre;0,01503832
;69 Jahre;0,01688777
;70 Jahre;0,01880777
;71 Jahre;0,02113301
;72 Jahre;0,02469796
;73 Jahre;0,02698839
;74 Jahre;0,03023998
;75 Jahre;0,03198942
;76 Jahre;0,03689767
;77 Jahre;0,04241336
;78 Jahre;0,04760434
;79 Jahre;0,05366976
;80 Jahre;0,05997264
;81 Jahre;0,06839482
;82 Jahre;0,07673660
;83 Jahre;0,08694591
;84 Jahre;0,09713801
;85 Jahre;0,10970524
;86 Jahre;0,12240367
;87 Jahre;0,13537693
;88 Jahre;0,15060244
;89 Jahre;0,16290356
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1993/95;;
männlich;0 Jahre;0,00620964
;1 Jahr;0,00053528
;2 Jahre;0,00039579
;3 Jahre;0,00027966
;4 Jahre;0,00023830
;5 Jahre;0,00021007
;6 Jahre;0,00018383
;7 Jahre;0,00018047
;8 Jahre;0,00015573
;9 Jahre;0,00016325
;10 Jahre;0,00014920
;11 Jahre;0,00018035
;12 Jahre;0,00017359
;13 Jahre;0,00020891
;14 Jahre;0,00023828
;15 Jahre;0,00035384
;16 Jahre;0,00053208
;17 Jahre;0,00066302
;18 Jahre;0,00109254
;19 Jahre;0,00114129
;20 Jahre;0,00105106
;21 Jahre;0,00108620
;22 Jahre;0,00101537
;23 Jahre;0,00098389
;24 Jahre;0,00101244
;25 Jahre;0,00097374
;26 Jahre;0,00094505
;27 Jahre;0,00100187
;28 Jahre;0,00104527
;29 Jahre;0,00107797
;30 Jahre;0,00118288
;31 Jahre;0,00121640
;32 Jahre;0,00128952
;33 Jahre;0,00145418
;34 Jahre;0,00155562
;35 Jahre;0,00164645
;36 Jahre;0,00184955
;37 Jahre;0,00198097
;38 Jahre;0,00210999
;39 Jahre;0,00235034
;40 Jahre;0,00252172
;41 Jahre;0,00270776
;42 Jahre;0,00293983
;43 Jahre;0,00311355
;44 Jahre;0,00344518
;45 Jahre;0,00365251
;46 Jahre;0,00391863
;47 Jahre;0,00439118
;48 Jahre;0,00481153
;49 Jahre;0,00537709
;50 Jahre;0,00589103
;51 Jahre;0,00630201
;52 Jahre;0,00691102
;53 Jahre;0,00751586
;54 Jahre;0,00828781
;55 Jahre;0,00901377
;56 Jahre;0,00992079
;57 Jahre;0,01107977
;58 Jahre;0,01225512
;59 Jahre;0,01356219
;60 Jahre;0,01508021
;61 Jahre;0,01621466
;62 Jahre;0,01835852
;63 Jahre;0,02022754
;64 Jahre;0,02241054
;65 Jahre;0,02409334
;66 Jahre;0,02610694
;67 Jahre;0,02819256
;68 Jahre;0,03021610
;69 Jahre;0,03312523
;70 Jahre;0,03631238
;71 Jahre;0,04010810
;72 Jahre;0,04395267
;73 Jahre;0,04958006
;74 Jahre;0,05340940
;75 Jahre;0,05841110
;76 Jahre;0,06080412
;77 Jahre;0,06788753
;78 Jahre;0,07667428
;79 Jahre;0,08416579
;80 Jahre;0,09377473
;81 Jahre;0,10197897
;82 Jahre;0,11087160
;83 Jahre;0,12214634
;84 Jahre;0,13445695
;85 Jahre;0,14677852
;86 Jahre;0,16114504
;87 Jahre;0,17327963
;88 Jahre;0,18679109
;89 Jahre;0,20145084
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00488883
;1 Jahr;0,00051267
;2 Jahre;0,00025607
;3 Jahre;0,00021972
;4 Jahre;0,00019082
;5 Jahre;0,00015571
;6 Jahre;0,00014847
;7 Jahre;0,00013370
;8 Jahre;0,00012979
;9 Jahre;0,00012706
;10 Jahre;0,00012708
;11 Jahre;0,00012341
;12 Jahre;0,00012817
;13 Jahre;0,00015064
;14 Jahre;0,00015506
;15 Jahre;0,00022523
;16 Jahre;0,00029358
;17 Jahre;0,00029370
;18 Jahre;0,00040791
;19 Jahre;0,00039799
;20 Jahre;0,00035996
;21 Jahre;0,00033860
;22 Jahre;0,00034039
;23 Jahre;0,00032109
;24 Jahre;0,00034592
;25 Jahre;0,00036041
;26 Jahre;0,00036211
;27 Jahre;0,00036156
;28 Jahre;0,00039741
;29 Jahre;0,00044208
;30 Jahre;0,00049431
;31 Jahre;0,00049791
;32 Jahre;0,00057615
;33 Jahre;0,00066821
;34 Jahre;0,00071037
;35 Jahre;0,00073709
;36 Jahre;0,00081371
;37 Jahre;0,00092252
;38 Jahre;0,00098950
;39 Jahre;0,00106124
;40 Jahre;0,00123887
;41 Jahre;0,00136515
;42 Jahre;0,00149173
;43 Jahre;0,00163001
;44 Jahre;0,00180418
;45 Jahre;0,00193361
;46 Jahre;0,00209000
;47 Jahre;0,00221956
;48 Jahre;0,00254601
;49 Jahre;0,00263811
;50 Jahre;0,00298951
;51 Jahre;0,00327871
;52 Jahre;0,00338729
;53 Jahre;0,00353656
;54 Jahre;0,00386969
;55 Jahre;0,00414891
;56 Jahre;0,00449606
;57 Jahre;0,00496471
;58 Jahre;0,00551390
;59 Jahre;0,00614944
;60 Jahre;0,00671744
;61 Jahre;0,00753094
;62 Jahre;0,00829448
;63 Jahre;0,00913347
;64 Jahre;0,00994314
;65 Jahre;0,01098623
;66 Jahre;0,01200876
;67 Jahre;0,01334479
;68 Jahre;0,01473385
;69 Jahre;0,01654415
;70 Jahre;0,01851458
;71 Jahre;0,02048589
;72 Jahre;0,02337404
;73 Jahre;0,02715887
;74 Jahre;0,02980957
;75 Jahre;0,03320645
;76 Jahre;0,03556086
;77 Jahre;0,04067103
;78 Jahre;0,04713407
;79 Jahre;0,05251107
;80 Jahre;0,05964337
;81 Jahre;0,06683435
;82 Jahre;0,07528458
;83 Jahre;0,08475726
;84 Jahre;0,09512095
;85 Jahre;0,10793168
;86 Jahre;0,12081171
;87 Jahre;0,13364582
;88 Jahre;0,14892160
;89 Jahre;0,16205530
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1994/96;;
männlich;0 Jahre;0,00590306
;1 Jahr;0,00052280
;2 Jahre;0,00034993
;3 Jahre;0,00025702
;4 Jahre;0,00021106
;5 Jahre;0,00019969
;6 Jahre;0,00017718
;7 Jahre;0,00016409
;8 Jahre;0,00013424
;9 Jahre;0,00015028
;10 Jahre;0,00014306
;11 Jahre;0,00016703
;12 Jahre;0,00016317
;13 Jahre;0,00018807
;14 Jahre;0,00023953
;15 Jahre;0,00033871
;16 Jahre;0,00053551
;17 Jahre;0,00065842
;18 Jahre;0,00108024
;19 Jahre;0,00112347
;20 Jahre;0,00105200
;21 Jahre;0,00104186
;22 Jahre;0,00099156
;23 Jahre;0,00098175
;24 Jahre;0,00098629
;25 Jahre;0,00094256
;26 Jahre;0,00090817
;27 Jahre;0,00100974
;28 Jahre;0,00103558
;29 Jahre;0,00105056
;30 Jahre;0,00112718
;31 Jahre;0,00118238
;32 Jahre;0,00128939
;33 Jahre;0,00135821
;34 Jahre;0,00149458
;35 Jahre;0,00160262
;36 Jahre;0,00177739
;37 Jahre;0,00190294
;38 Jahre;0,00201212
;39 Jahre;0,00222037
;40 Jahre;0,00242282
;41 Jahre;0,00268682
;42 Jahre;0,00293676
;43 Jahre;0,00306020
;44 Jahre;0,00344555
;45 Jahre;0,00366516
;46 Jahre;0,00380555
;47 Jahre;0,00443502
;48 Jahre;0,00456596
;49 Jahre;0,00523897
;50 Jahre;0,00569741
;51 Jahre;0,00622003
;52 Jahre;0,00696739
;53 Jahre;0,00726061
;54 Jahre;0,00808549
;55 Jahre;0,00876996
;56 Jahre;0,00977056
;57 Jahre;0,01074293
;58 Jahre;0,01163883
;59 Jahre;0,01318662
;60 Jahre;0,01455343
;61 Jahre;0,01606194
;62 Jahre;0,01753966
;63 Jahre;0,01972028
;64 Jahre;0,02172275
;65 Jahre;0,02395929
;66 Jahre;0,02569436
;67 Jahre;0,02808560
;68 Jahre;0,02985909
;69 Jahre;0,03245195
;70 Jahre;0,03539212
;71 Jahre;0,03912541
;72 Jahre;0,04278071
;73 Jahre;0,04713440
;74 Jahre;0,05343258
;75 Jahre;0,05759245
;76 Jahre;0,06233330
;77 Jahre;0,06510146
;78 Jahre;0,07272972
;79 Jahre;0,08277328
;80 Jahre;0,09096725
;81 Jahre;0,10150704
;82 Jahre;0,10969215
;83 Jahre;0,11968793
;84 Jahre;0,13141919
;85 Jahre;0,14430255
;86 Jahre;0,15777471
;87 Jahre;0,17115157
;88 Jahre;0,18389695
;89 Jahre;0,20029572
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00466747
;1 Jahr;0,00045895
;2 Jahre;0,00026539
;3 Jahre;0,00021120
;4 Jahre;0,00018007
;5 Jahre;0,00013724
;6 Jahre;0,00014759
;7 Jahre;0,00013300
;8 Jahre;0,00011792
;9 Jahre;0,00010990
;10 Jahre;0,00011765
;11 Jahre;0,00011844
;12 Jahre;0,00011035
;13 Jahre;0,00013555
;14 Jahre;0,00015486
;15 Jahre;0,00023145
;16 Jahre;0,00028527
;17 Jahre;0,00027569
;18 Jahre;0,00041848
;19 Jahre;0,00038179
;20 Jahre;0,00038141
;21 Jahre;0,00035073
;22 Jahre;0,00034368
;23 Jahre;0,00030966
;24 Jahre;0,00034372
;25 Jahre;0,00033513
;26 Jahre;0,00034721
;27 Jahre;0,00035025
;28 Jahre;0,00039126
;29 Jahre;0,00043372
;30 Jahre;0,00047750
;31 Jahre;0,00049539
;32 Jahre;0,00053572
;33 Jahre;0,00059784
;34 Jahre;0,00068358
;35 Jahre;0,00074448
;36 Jahre;0,00079522
;37 Jahre;0,00089702
;38 Jahre;0,00097629
;39 Jahre;0,00104220
;40 Jahre;0,00120220
;41 Jahre;0,00134073
;42 Jahre;0,00144234
;43 Jahre;0,00156209
;44 Jahre;0,00176677
;45 Jahre;0,00189696
;46 Jahre;0,00205662
;47 Jahre;0,00223844
;48 Jahre;0,00246184
;49 Jahre;0,00266103
;50 Jahre;0,00293157
;51 Jahre;0,00317911
;52 Jahre;0,00342521
;53 Jahre;0,00350525
;54 Jahre;0,00386575
;55 Jahre;0,00402705
;56 Jahre;0,00437257
;57 Jahre;0,00483344
;58 Jahre;0,00529960
;59 Jahre;0,00601659
;60 Jahre;0,00652465
;61 Jahre;0,00741041
;62 Jahre;0,00799290
;63 Jahre;0,00880118
;64 Jahre;0,00976793
;65 Jahre;0,01080526
;66 Jahre;0,01187191
;67 Jahre;0,01309857
;68 Jahre;0,01443703
;69 Jahre;0,01629649
;70 Jahre;0,01808589
;71 Jahre;0,01982718
;72 Jahre;0,02264984
;73 Jahre;0,02546767
;74 Jahre;0,02989484
;75 Jahre;0,03264593
;76 Jahre;0,03609001
;77 Jahre;0,03910244
;78 Jahre;0,04488810
;79 Jahre;0,05186222
;80 Jahre;0,05811039
;81 Jahre;0,06659608
;82 Jahre;0,07344140
;83 Jahre;0,08257412
;84 Jahre;0,09314279
;85 Jahre;0,10602362
;86 Jahre;0,11862012
;87 Jahre;0,13220159
;88 Jahre;0,14670887
;89 Jahre;0,16140233
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1995/97;;
männlich;0 Jahre;0,00564423
;1 Jahr;0,00051103
;2 Jahre;0,00032193
;3 Jahre;0,00024906
;4 Jahre;0,00019725
;5 Jahre;0,00018102
;6 Jahre;0,00016947
;7 Jahre;0,00014273
;8 Jahre;0,00014866
;9 Jahre;0,00013968
;10 Jahre;0,00013501
;11 Jahre;0,00014643
;12 Jahre;0,00014710
;13 Jahre;0,00018143
;14 Jahre;0,00024063
;15 Jahre;0,00030422
;16 Jahre;0,00050930
;17 Jahre;0,00065045
;18 Jahre;0,00110661
;19 Jahre;0,00112377
;20 Jahre;0,00102829
;21 Jahre;0,00099314
;22 Jahre;0,00096651
;23 Jahre;0,00099456
;24 Jahre;0,00094180
;25 Jahre;0,00090742
;26 Jahre;0,00088162
;27 Jahre;0,00095817
;28 Jahre;0,00102142
;29 Jahre;0,00100406
;30 Jahre;0,00106262
;31 Jahre;0,00112453
;32 Jahre;0,00119609
;33 Jahre;0,00128885
;34 Jahre;0,00136812
;35 Jahre;0,00150097
;36 Jahre;0,00163035
;37 Jahre;0,00179354
;38 Jahre;0,00196435
;39 Jahre;0,00209432
;40 Jahre;0,00225757
;41 Jahre;0,00255913
;42 Jahre;0,00286767
;43 Jahre;0,00302748
;44 Jahre;0,00336739
;45 Jahre;0,00364268
;46 Jahre;0,00386242
;47 Jahre;0,00420077
;48 Jahre;0,00453404
;49 Jahre;0,00496673
;50 Jahre;0,00559295
;51 Jahre;0,00605007
;52 Jahre;0,00676371
;53 Jahre;0,00732926
;54 Jahre;0,00773869
;55 Jahre;0,00849589
;56 Jahre;0,00939720
;57 Jahre;0,01041774
;58 Jahre;0,01125627
;59 Jahre;0,01255040
;60 Jahre;0,01403103
;61 Jahre;0,01565417
;62 Jahre;0,01700976
;63 Jahre;0,01882578
;64 Jahre;0,02083036
;65 Jahre;0,02321568
;66 Jahre;0,02504319
;67 Jahre;0,02775019
;68 Jahre;0,02978182
;69 Jahre;0,03191391
;70 Jahre;0,03433303
;71 Jahre;0,03831198
;72 Jahre;0,04182787
;73 Jahre;0,04600214
;74 Jahre;0,05053603
;75 Jahre;0,05771815
;76 Jahre;0,06096095
;77 Jahre;0,06714998
;78 Jahre;0,06949262
;79 Jahre;0,07870342
;80 Jahre;0,08962270
;81 Jahre;0,09893763
;82 Jahre;0,10859457
;83 Jahre;0,11730727
;84 Jahre;0,12820681
;85 Jahre;0,14137576
;86 Jahre;0,15339578
;87 Jahre;0,16730957
;88 Jahre;0,18181553
;89 Jahre;0,19768490
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00444165
;1 Jahr;0,00041523
;2 Jahre;0,00024560
;3 Jahre;0,00018638
;4 Jahre;0,00018296
;5 Jahre;0,00012349
;6 Jahre;0,00014991
;7 Jahre;0,00012448
;8 Jahre;0,00010390
;9 Jahre;0,00010099
;10 Jahre;0,00010468
;11 Jahre;0,00010009
;12 Jahre;0,00011998
;13 Jahre;0,00012326
;14 Jahre;0,00015191
;15 Jahre;0,00020996
;16 Jahre;0,00025778
;17 Jahre;0,00026268
;18 Jahre;0,00042144
;19 Jahre;0,00039133
;20 Jahre;0,00036983
;21 Jahre;0,00034460
;22 Jahre;0,00032535
;23 Jahre;0,00030241
;24 Jahre;0,00033566
;25 Jahre;0,00032003
;26 Jahre;0,00032443
;27 Jahre;0,00036454
;28 Jahre;0,00039157
;29 Jahre;0,00041291
;30 Jahre;0,00042351
;31 Jahre;0,00048138
;32 Jahre;0,00050346
;33 Jahre;0,00056994
;34 Jahre;0,00065818
;35 Jahre;0,00072574
;36 Jahre;0,00076229
;37 Jahre;0,00088793
;38 Jahre;0,00095065
;39 Jahre;0,00103313
;40 Jahre;0,00115958
;41 Jahre;0,00130024
;42 Jahre;0,00143803
;43 Jahre;0,00156142
;44 Jahre;0,00173693
;45 Jahre;0,00185176
;46 Jahre;0,00202037
;47 Jahre;0,00219954
;48 Jahre;0,00245028
;49 Jahre;0,00260239
;50 Jahre;0,00287870
;51 Jahre;0,00310958
;52 Jahre;0,00338553
;53 Jahre;0,00358652
;54 Jahre;0,00372712
;55 Jahre;0,00402798
;56 Jahre;0,00429947
;57 Jahre;0,00475120
;58 Jahre;0,00510899
;59 Jahre;0,00569721
;60 Jahre;0,00635866
;61 Jahre;0,00707828
;62 Jahre;0,00773102
;63 Jahre;0,00852409
;64 Jahre;0,00948210
;65 Jahre;0,01053458
;66 Jahre;0,01163528
;67 Jahre;0,01269492
;68 Jahre;0,01409662
;69 Jahre;0,01589949
;70 Jahre;0,01759694
;71 Jahre;0,01946074
;72 Jahre;0,02196675
;73 Jahre;0,02469227
;74 Jahre;0,02819230
;75 Jahre;0,03262083
;76 Jahre;0,03534537
;77 Jahre;0,03975544
;78 Jahre;0,04287813
;79 Jahre;0,04917781
;80 Jahre;0,05747286
;81 Jahre;0,06460718
;82 Jahre;0,07292974
;83 Jahre;0,08053333
;84 Jahre;0,09084093
;85 Jahre;0,10274980
;86 Jahre;0,11448677
;87 Jahre;0,12979867
